Wall time,Step,Value
1553655419.87313,42,0.2265625
1553655420.2174668,45,0.2421875
1553655422.060265,71,0.2890625
1553655423.6018305,94,0.3828125
1553655428.9841666,167,0.4296875
1553655433.5193932,229,0.4296875
1553655433.8533306,234,0.359375
1553655435.3541324,255,0.453125
1553655436.5898266,273,0.359375
1553655439.2339106,308,0.4765625
1553655439.3832264,310,0.4453125
1553655440.0022955,318,0.421875
1553655447.7826333,421,0.40625
1553655452.6488693,474,0.4453125
1553655457.9209468,536,0.4296875
1553655461.6312609,579,0.46875
1553655462.240922,586,0.421875
1553655466.290397,634,0.40625
1553655467.4613132,647,0.453125
1553655469.4166303,671,0.5078125
1553655473.4958396,714,0.3984375
1553655474.4033744,722,0.4453125
1553655479.7099965,771,0.40625
1553655481.2643256,785,0.5
1553655483.0423357,802,0.484375
1553655483.6591728,808,0.46875
1553655486.4668226,836,0.4765625
1553655500.4943802,971,0.5546875
1553655504.85454,1014,0.5
1553655510.078747,1066,0.46875
1553655513.913911,1104,0.4296875
1553655521.551054,1180,0.53125
1553655529.9499574,1261,0.5390625
1553655536.0420277,1316,0.4609375
1553655536.3617156,1319,0.46875
1553655537.8126738,1333,0.5390625
1553655538.2451677,1337,0.5390625
1553655543.12185,1385,0.4609375
1553655543.8469498,1392,0.4921875
1553655548.2881773,1436,0.484375
1553655551.3242285,1466,0.453125
1553655557.2241974,1523,0.4609375
1553655560.1709552,1552,0.5390625
1553655561.7754846,1568,0.53125
1553655563.2854786,1584,0.4921875
1553655568.8037734,1640,0.4765625
1553655573.7219615,1691,0.4609375
1553655576.4432113,1718,0.4453125
1553655578.2688406,1734,0.484375
1553655578.595431,1737,0.4296875
1553655583.246691,1781,0.5234375
1553655589.6369843,1844,0.4453125
1553655591.816956,1866,0.4921875
1553655592.1040623,1869,0.4296875
1553655593.1328144,1877,0.546875
1553655597.1033285,1917,0.4765625
1553655598.7813442,1934,0.4375
1553655600.097491,1947,0.4375
1553655609.4314015,2036,0.4453125
1553655615.8833253,2096,0.4921875
1553655625.2137759,2187,0.4453125
1553655626.389332,2199,0.4921875
1553655629.616376,2231,0.453125
1553655630.2312033,2237,0.5234375
1553655632.212402,2257,0.546875
1553655632.7084596,2262,0.46875
1553655637.194777,2307,0.578125
1553655638.3518271,2319,0.5390625
1553655645.5446243,2389,0.4296875
1553655650.3359575,2436,0.46875
1553655652.3035338,2453,0.53125
1553655652.5010583,2455,0.484375
1553655653.0134094,2460,0.5234375
1553655655.555162,2485,0.515625
1553655655.6770825,2486,0.6015625
1553655656.8712497,2498,0.53125
1553655657.3661366,2503,0.4921875
1553655660.2912128,2532,0.5546875
1553655661.7714224,2547,0.5234375
1553655662.4081323,2553,0.46875
1553655675.7379217,2685,0.5703125
1553655681.369652,2740,0.578125
1553655686.3958976,2789,0.46875
1553655697.4399562,2896,0.4921875
1553655704.5452647,2967,0.46875
1553655711.7925394,3038,0.484375
1553655712.0698543,3041,0.4375
1553655718.080473,3099,0.484375
1553655724.0919635,3161,0.5078125
1553655731.3282223,3230,0.421875
1553655732.751935,3244,0.5625
1553655732.947952,3246,0.5078125
1553655733.0698695,3247,0.4453125
1553655739.105913,3305,0.5078125
1553655756.9240203,3480,0.5078125
1553655770.675827,3618,0.5234375
1553655770.8692002,3620,0.5390625
1553655775.9700797,3670,0.515625
1553655783.1401107,3741,0.5
1553655788.7099295,3793,0.4453125
1553655790.8624423,3814,0.5546875
1553655791.5705104,3821,0.5
1553655802.2312717,3928,0.5546875
1553655804.9908752,3956,0.53125
1553655807.876263,3984,0.4375
1553655813.2107165,4036,0.4921875
1553655819.549492,4098,0.5234375
1553655829.1628902,4196,0.515625
1553655832.426374,4227,0.46875
1553655832.877591,4232,0.578125
1553655842.0930488,4317,0.515625
1553655842.295609,4319,0.4921875
1553655850.288247,4400,0.5078125
1553655859.5306842,4492,0.4609375
1553655861.2167397,4509,0.46875
1553655863.2643576,4530,0.4609375
1553655876.7304206,4664,0.5625
1553655877.1889231,4668,0.4921875
1553655878.1243207,4676,0.53125
1553655889.715084,4788,0.515625
1553655891.2000952,4802,0.515625
1553655895.2472906,4840,0.5390625
1553655896.5787954,4852,0.484375
1553655900.8125145,4894,0.3984375
1553655908.5132241,4971,0.4453125
1553655908.820055,4974,0.5078125
1553655916.506577,5050,0.53125
1553655916.6894598,5052,0.546875
1553655922.3429613,5106,0.5
1553655925.4264667,5134,0.484375
1553655936.5214832,5239,0.53125
1553655945.6325893,5329,0.46875
1553655947.1776278,5345,0.53125
1553655948.5346293,5359,0.5078125
1553655954.931004,5420,0.546875
1553655965.0628107,5517,0.53125
1553655968.2081828,5549,0.5625
1553655979.67606,5664,0.453125
1553655981.194857,5679,0.5546875
1553655985.4822223,5723,0.4609375
1553655993.8265598,5808,0.53125
1553655995.4612963,5825,0.515625
1553655995.7685344,5828,0.5390625
1553655999.2838988,5864,0.625
1553655999.9780881,5871,0.4921875
1553656003.4935682,5907,0.4765625
1553656005.5426633,5928,0.4921875
1553656011.733217,5990,0.5625
1553656013.7391725,6010,0.46875
1553656024.940339,6121,0.5625
1553656025.9396315,6131,0.53125
1553656032.8029785,6200,0.5234375
1553656034.1199293,6213,0.546875
1553656034.70342,6219,0.546875
1553656036.0067523,6232,0.6015625
1553656041.6722345,6289,0.515625
1553656043.9302218,6312,0.609375
1553656044.4339533,6317,0.5390625
1553656050.3531244,6376,0.5390625
1553656064.8442838,6520,0.5625
1553656070.574252,6574,0.4765625
1553656073.5269952,6603,0.53125
1553656079.11554,6657,0.515625
1553656083.0516698,6696,0.6015625
1553656083.361392,6699,0.5078125
1553656084.6502085,6711,0.4609375
1553656087.8020515,6742,0.6015625
1553656098.354609,6846,0.59375
1553656099.1920075,6854,0.6171875
1553656100.7548866,6869,0.546875
1553656110.828605,6966,0.5703125
1553656113.4258869,6992,0.4375
1553656115.7570548,7014,0.5625
1553656125.5416775,7106,0.5234375
1553656126.3389323,7114,0.546875
1553656130.5507638,7155,0.6171875
1553656140.1641803,7247,0.515625
1553656146.976129,7311,0.4921875
1553656152.0558224,7359,0.5234375
1553656154.5968423,7382,0.53125
1553656156.6891754,7401,0.5703125
1553656161.8357956,7450,0.59375
1553656162.910947,7460,0.4921875
1553656163.2505744,7463,0.546875
1553656164.8583853,7478,0.53125
1553656168.437551,7511,0.6171875
1553656187.2257464,7687,0.53125
1553656187.8608532,7693,0.5546875
1553656195.0709758,7760,0.5
1553656198.1295452,7788,0.46875
1553656199.2083464,7798,0.5390625
1553656203.007768,7833,0.546875
1553656210.205336,7900,0.59375
