Wall time,Step,Value
1553655544.2961173,42,2.1972665786743164
1553655544.3601758,45,2.1123218536376953
1553655544.8814223,71,1.8648483753204346
1553655545.475884,94,1.9412829875946045
1553655546.9341924,158,1.7097930908203125
1553655547.1161942,167,1.7984451055526733
1553655548.4652333,229,1.7251149415969849
1553655548.6360612,234,1.8266246318817139
1553655549.2548347,255,1.9969186782836914
1553655549.7273545,273,1.9140098094940186
1553655550.5260632,308,1.970200538635254
1553655550.5636659,310,1.6753133535385132
1553655550.7252238,318,1.859641432762146
1553655553.046892,421,1.7618093490600586
1553655553.9012313,460,1.6382176876068115
1553655554.5166752,474,1.8306783437728882
1553655555.9163306,536,1.807243824005127
1553655556.910973,579,1.7616636753082275
1553655557.0517607,586,1.8616783618927002
1553655558.2183745,634,1.778857946395874
1553655558.4757469,647,1.5068261623382568
1553655559.054636,671,1.5514554977416992
1553655560.002208,714,1.6302285194396973
1553655560.1542492,722,1.934805154800415
1553655561.2330594,771,1.814161777496338
1553655561.6128356,785,1.748702049255371
1553655561.9704273,802,1.7395479679107666
1553655562.0839195,808,1.5319099426269531
1553655562.7383547,836,1.6532092094421387
1553655565.9378831,971,1.6672475337982178
1553655566.9126687,1014,1.5922088623046875
1553655568.025666,1066,1.4939453601837158
1553655568.9912403,1104,1.8470220565795898
1553655571.213386,1180,1.6175191402435303
1553655573.301918,1261,1.5631492137908936
1553655574.480498,1316,1.594562292098999
1553655574.5519352,1319,1.796895146369934
1553655574.930669,1333,1.7890346050262451
1553655575.0066478,1337,1.599970817565918
1553655576.0661466,1385,1.8046334981918335
1553655576.2059953,1392,1.8551160097122192
1553655577.4769924,1436,1.7155965566635132
1553655578.1342568,1466,1.6609876155853271
1553655579.44139,1523,1.6497070789337158
1553655580.1310098,1552,1.3429863452911377
1553655580.4376957,1568,1.8490043878555298
1553655580.8731704,1584,1.6950151920318604
1553655582.1098917,1640,1.5678404569625854
1553655583.2366226,1691,1.832620620727539
1553655583.7069848,1709,1.482348084449768
1553655583.8787727,1718,1.702462911605835
1553655584.3083162,1734,1.7214186191558838
1553655584.3650336,1737,1.6985275745391846
1553655585.345236,1781,1.70416259765625
1553655586.6807308,1844,1.6151578426361084
1553655587.2509687,1866,1.759642481803894
1553655587.3076684,1869,1.8091270923614502
1553655587.6575828,1877,1.8476581573486328
1553655588.6345334,1917,1.9406139850616455
1553655588.9837523,1934,1.7273920774459839
1553655589.2298353,1947,1.4528071880340576
1553655591.3560936,2036,1.5927329063415527
1553655592.9337504,2096,1.6741901636123657
1553655595.2192292,2187,1.6306263208389282
