Wall time,Step,Value
1553666817.836679,42,0.359375
1553666817.9985585,45,0.265625
1553666819.49716,71,0.390625
1553666820.7732565,94,0.390625
1553666825.0528111,167,0.40625
1553666828.7265165,229,0.3828125
1553666829.0316155,234,0.421875
1553666830.2155442,255,0.4609375
1553666831.2943356,273,0.4921875
1553666833.4319794,308,0.4296875
1553666833.5434973,310,0.390625
1553666833.9978764,318,0.3828125
1553666855.7400641,474,0.53125
1553666870.0194478,536,0.5078125
1553666881.2033193,579,0.546875
1553666883.0232596,586,0.5390625
1553666895.5409656,634,0.578125
1553666898.9295182,647,0.5625
1553666916.254883,714,0.5859375
1553666918.3344157,722,0.4921875
1553666939.0305824,802,0.59375
1553666940.5704587,808,0.5625
1553666947.7452936,836,0.53125
1553666982.7621589,971,0.515625
1553666993.8153555,1014,0.5859375
1553667007.329557,1066,0.53125
1553667017.089594,1104,0.578125
1553667036.7780566,1180,0.59375
1553667057.6841013,1261,0.5625
1553667071.8443568,1316,0.5390625
1553667072.626967,1319,0.6171875
1553667076.2243164,1333,0.5078125
1553667077.264944,1337,0.5625
1553667089.6753705,1385,0.546875
1553667091.4816592,1392,0.5625
1553667103.0177696,1436,0.578125
1553667110.784284,1466,0.5078125
1553667132.9883697,1552,0.4921875
1553667141.2867136,1584,0.5
1553667168.9755797,1691,0.5390625
1553667180.114348,1734,0.4765625
1553667180.8910236,1737,0.4921875
1553667208.5277655,1844,0.59375
1553667217.2082107,1877,0.546875
1553667227.4766738,1917,0.515625
1553667235.281072,1947,0.5
1553667258.299744,2036,0.546875
1553667273.8362937,2096,0.46875
1553667297.382314,2187,0.5390625
1553667300.4382896,2199,0.5625
1553667308.7219236,2231,0.4375
1553667316.6919148,2262,0.5234375
1553667328.2677872,2307,0.578125
1553667349.5536468,2389,0.5625
1553667361.732768,2436,0.53125
1553667366.1401315,2453,0.5546875
1553667366.6640365,2455,0.4765625
1553667367.9615064,2460,0.53125
1553667374.3209505,2485,0.4765625
1553667374.5734084,2486,0.5703125
1553667377.663418,2498,0.546875
1553667378.9594896,2503,0.5625
1553667386.4540172,2532,0.5
1553667426.1425865,2685,0.5703125
1553667440.3718376,2740,0.4765625
1553667499.1351395,2967,0.5625
1553667517.432283,3038,0.53125
1553667518.2148182,3041,0.578125
1553667549.2811515,3161,0.53125
1553667567.0913494,3230,0.5390625
1553667571.2096071,3246,0.6171875
1553667571.4665926,3247,0.53125
1553667586.580641,3305,0.5546875
1553667631.8224418,3480,0.484375
1553667667.6050327,3618,0.625
1553667668.1313639,3620,0.5625
1553667681.0101397,3670,0.4921875
1553667699.3613417,3741,0.46875
1553667718.4545262,3814,0.53125
1553667720.2700996,3821,0.5859375
1553667747.8582036,3928,0.5703125
1553667755.054705,3956,0.5390625
1553667775.7292032,4036,0.515625
1553667791.696637,4098,0.6171875
1553667817.0820706,4196,0.5234375
1553667826.532892,4232,0.609375
1553667848.4288876,4317,0.6171875
1553667869.809139,4400,0.609375
1553667893.485108,4492,0.5859375
1553667897.8529077,4509,0.609375
1553667903.2520108,4530,0.5703125
1553667937.8646953,4664,0.5
1553667938.9054172,4668,0.578125
1553667940.9657702,4676,0.5078125
1553667970.107817,4788,0.5234375
1553667973.7497928,4802,0.6171875
1553667983.5549502,4840,0.59375
1553667997.5345423,4894,0.5546875
1553668017.356439,4971,0.5234375
1553668037.732567,5050,0.4921875
1553668038.2452152,5052,0.6328125
1553668052.1964524,5106,0.6171875
1553668059.455638,5134,0.546875
1553668114.048689,5345,0.6015625
1553668117.6780312,5359,0.6328125
1553668133.4298162,5420,0.5859375
1553668166.7284467,5549,0.4375
1553668200.5663993,5679,0.6015625
1553668211.910131,5723,0.59375
1553668233.7858732,5808,0.65625
1553668248.276109,5864,0.6328125
1553668250.0847797,5871,0.6015625
1553668259.3875897,5907,0.6640625
1553668280.8457441,5990,0.6328125
1553668317.4118762,6131,0.671875
1553668335.227343,6200,0.6640625
1553668340.1377616,6219,0.6015625
1553668358.2088482,6289,0.59375
1553668364.121004,6312,0.5703125
1553668380.620277,6376,0.625
1553668417.8489046,6520,0.6328125
1553668431.9777963,6574,0.5390625
1553668439.477437,6603,0.5859375
1553668463.4202359,6696,0.6328125
1553668464.1935763,6699,0.6328125
1553668467.3118882,6711,0.6640625
1553668504.3118734,6854,0.609375
1553668533.2416606,6966,0.640625
1553668540.0002744,6992,0.5703125
1553668571.6689098,7114,0.609375
1553668582.2210906,7155,0.6171875
1553668622.5362756,7311,0.6171875
1553668640.856098,7382,0.625
1553668658.46713,7450,0.671875
1553668661.0507433,7460,0.5859375
1553668661.861348,7463,0.5859375
1553668665.7116954,7478,0.5625
1553668674.418526,7511,0.6015625
1553668721.508409,7693,0.59375
1553668746.0463886,7788,0.6015625
1553668748.6289635,7798,0.671875
1553668757.672115,7833,0.5625
1553668798.6814654,7991,0.625
1553668818.1261373,8066,0.6953125
1553668847.6078084,8180,0.6328125
1553668858.1608186,8221,0.6640625
1553668894.8117502,8363,0.5859375
1553668896.1089065,8368,0.5703125
1553668898.4482312,8377,0.6171875
1553668922.7115986,8470,0.640625
1553668929.9503224,8498,0.6875
1553668932.5197701,8508,0.5625
1553668956.4901211,8601,0.5859375
1553668965.305977,8635,0.5703125
1553668980.7785785,8695,0.6953125
1553669028.05488,8878,0.6640625
1553669035.7955108,8907,0.625
1553669041.2205112,8928,0.5625
1553669043.0276928,8935,0.5859375
1553669058.1179807,8993,0.71875
1553669074.1128435,9055,0.65625
1553669126.956279,9260,0.6328125
1553669141.4020128,9316,0.7109375
1553669149.6863856,9348,0.6875
1553669172.2774234,9435,0.625
1553669180.8059585,9468,0.703125
1553669203.0433757,9554,0.7109375
1553669206.360168,9567,0.6640625
1553669229.651611,9657,0.609375
1553669235.5149624,9680,0.671875
1553669240.1925812,9698,0.640625
1553669277.7849624,9843,0.6796875
1553669294.356275,9907,0.671875
1553669333.323654,10058,0.59375
1553669340.07488,10084,0.65625
1553669389.756983,10276,0.6875
1553669391.501294,10283,0.6328125
1553669421.6342254,10399,0.671875
1553669442.2093823,10479,0.625
1553669453.2855408,10522,0.7109375
1553669475.214792,10607,0.6953125
1553669483.2121015,10638,0.703125
1553669487.3198009,10654,0.703125
1553669502.0132449,10711,0.703125
1553669513.8517566,10757,0.625
1553669514.1089468,10758,0.71875
1553669519.9002762,10780,0.6796875
1553669535.6384974,10841,0.7109375
1553669537.9587624,10850,0.6953125
1553669551.352866,10902,0.6328125
1553669552.1192505,10905,0.6953125
1553669561.8934069,10943,0.71875
1553669567.7691495,10966,0.6484375
1553669569.303871,10972,0.6953125
1553669569.8226438,10974,0.6484375
1553669581.6310909,11020,0.6328125
1553669602.8294082,11102,0.734375
1553669607.752153,11121,0.703125
1553669610.0831378,11130,0.75
1553669627.5330117,11198,0.703125
1553669628.0487528,11200,0.6171875
1553669643.6458585,11260,0.6484375
1553669684.642646,11419,0.6484375
1553669698.3020308,11472,0.7109375
1553669703.456537,11492,0.71875
1553669711.399594,11523,0.7109375
1553669713.727522,11532,0.6796875
1553669722.5479145,11566,0.6484375
1553669743.9898374,11648,0.6640625
1553669753.3999903,11685,0.6875
1553669772.6195114,11759,0.6875
1553669801.9566824,11873,0.6796875
1553669826.7124152,11969,0.65625
1553669828.0792165,11974,0.6640625
1553669837.5252662,12010,0.71875
1553669845.1973975,12041,0.671875
1553669870.6137214,12138,0.703125
1553669877.4116368,12164,0.6484375
1553669882.7975936,12184,0.6796875
1553669910.548629,12290,0.6484375
1553669940.0718246,12405,0.65625
1553669953.7097466,12458,0.6328125
1553670008.2582812,12671,0.7421875
1553670061.6779456,12877,0.6796875
1553670077.3393285,12939,0.7421875
1553670097.1407444,13017,0.671875
1553670101.586707,13034,0.71875
1553670108.6281705,13061,0.71875
1553670113.9171097,13082,0.65625
1553670116.913558,13094,0.6640625
1553670120.8053234,13109,0.7265625
1553670154.550403,13239,0.609375
1553670196.7478802,13402,0.6640625
1553670197.7766123,13406,0.6328125
1553670223.1835146,13504,0.703125
1553670233.8710763,13546,0.71875
1553670246.8933291,13597,0.6875
1553670252.855828,13620,0.6953125
1553670267.7799304,13679,0.671875
1553670301.3385828,13810,0.671875
1553670321.0405078,13884,0.7109375
1553670372.2897177,14080,0.65625
1553670408.537032,14221,0.640625
1553670425.5592587,14287,0.765625
1553670427.3911138,14294,0.65625
1553670434.132589,14320,0.6953125
1553670438.709964,14338,0.6796875
1553670453.9141796,14397,0.6875
1553670467.0927436,14447,0.6640625
1553670514.9756699,14632,0.7265625
1553670516.492595,14638,0.6875
1553670524.4320915,14668,0.6796875
1553670526.7606895,14677,0.734375
1553670529.42419,14687,0.7265625
1553670553.5458314,14779,0.765625
1553670555.9642189,14788,0.6953125
1553670561.3135884,14809,0.7421875
1553670577.57276,14873,0.6796875
1553670582.4334998,14892,0.6796875
1553670633.8778014,15090,0.7109375
1553670657.4193802,15180,0.65625
1553670680.1319323,15266,0.75
1553670695.0113502,15324,0.7578125
1553670733.9301944,15473,0.7265625
1553670734.463341,15475,0.6796875
1553670742.6538854,15507,0.6796875
1553670750.7243063,15538,0.671875
1553670802.6330492,15740,0.59375
1553670808.8041294,15764,0.7421875
1553670811.0636716,15773,0.6484375
1553670825.1917024,15828,0.78125
1553670868.1351461,15993,0.7421875
1553670894.531381,16095,0.6875
1553670899.8763366,16116,0.7421875
1553670934.8735387,16249,0.7265625
1553670953.444984,16321,0.796875
1553670959.0587575,16343,0.7265625
1553670963.4594824,16360,0.734375
1553670975.5412886,16406,0.6953125
1553671000.7958539,16505,0.7109375
1553671050.114273,16697,0.703125
1553671078.3385534,16808,0.6640625
1553671078.595148,16809,0.6796875
1553671091.0779512,16857,0.71875
1553671101.7919934,16899,0.6328125
1553671144.4821815,17066,0.7109375
1553671152.3063345,17097,0.6953125
1553671160.70554,17131,0.703125
1553671188.6734498,17239,0.6640625
1553671197.2720351,17272,0.6953125
1553671202.4245763,17292,0.6796875
1553671208.5638304,17316,0.671875
1553671208.799271,17317,0.703125
1553671214.162378,17339,0.6640625
1553671230.9873462,17405,0.7421875
1553671241.125073,17444,0.7578125
1553671243.7604358,17454,0.6640625
1553671266.9788823,17543,0.8046875
1553671270.5581408,17557,0.75
1553671277.8317478,17586,0.765625
1553671279.7925503,17594,0.6484375
1553671287.2109513,17623,0.78125
1553671312.5657258,17722,0.640625
1553671372.5938363,17953,0.8046875
1553671379.8122685,17981,0.7578125
1553671389.4620235,18018,0.703125
1553671398.4669518,18053,0.75
1553671401.2775657,18065,0.71875
1553671418.0172634,18129,0.71875
1553671453.1674848,18264,0.6484375
1553671467.2891686,18318,0.75
1553671501.253269,18451,0.671875
1553671501.5147076,18452,0.7109375
1553671538.11616,18592,0.703125
1553671568.7208338,18713,0.671875
1553671570.6412997,18720,0.6953125
1553671603.444062,18845,0.734375
1553671633.0083208,18958,0.6484375
1553671645.2330194,19005,0.6953125
1553671656.4435415,19048,0.7421875
1553671674.1144576,19116,0.7109375
1553671687.8825886,19169,0.703125
1553671713.9743361,19271,0.671875
1553671779.6580193,19525,0.7421875
1553671781.2476287,19531,0.7890625
1553671809.6801124,19640,0.75
1553671813.2834835,19654,0.734375
1553671833.6572309,19731,0.75
1553671835.1937854,19737,0.6875
1553671857.0747657,19823,0.6796875
1553671862.8320723,19846,0.734375
1553671880.6831968,19916,0.7421875
1553671886.2389183,19938,0.796875
1553671894.7790148,19971,0.7421875
1553671900.8144681,19995,0.75
1553671910.9418192,20035,0.625
1553671915.7008204,20053,0.78125
1553671917.2592196,20059,0.6796875
1553671918.0141447,20062,0.7421875
1553671937.5201018,20138,0.765625
1553671937.7947106,20139,0.75
1553671950.034797,20186,0.734375
1553671958.014645,20217,0.7109375
1553671964.8365512,20244,0.7421875
1553671965.653241,20247,0.7109375
1553671966.95002,20252,0.6875
1553671985.5740023,20323,0.7578125
1553671988.4296415,20334,0.6640625
1553672001.1705444,20383,0.75
1553672015.8560605,20440,0.671875
1553672027.704875,20485,0.7578125
1553672038.5732858,20526,0.6875
1553672041.8451264,20539,0.7265625
1553672042.1073964,20540,0.6484375
1553672047.8881068,20562,0.6875
1553672052.0964808,20578,0.6484375
1553672080.7607946,20689,0.703125
1553672086.1014853,20710,0.71875
1553672103.4345114,20779,0.734375
1553672104.1658113,20782,0.734375
1553672104.4072728,20783,0.6953125
1553672116.29146,20831,0.6953125
1553672122.5650916,20855,0.6640625
1553672156.5726135,20987,0.6953125
1553672180.6383877,21080,0.7890625
1553672197.2111642,21144,0.6953125
1553672214.147407,21209,0.7734375
1553672220.1377792,21232,0.7109375
1553672242.125007,21316,0.796875
1553672242.959783,21319,0.6875
1553672244.2725847,21324,0.6484375
1553672261.3638186,21391,0.6953125
1553672265.6928835,21409,0.7265625
1553672284.8701487,21484,0.703125
1553672294.9242454,21523,0.65625
1553672335.530063,21681,0.6953125
1553672346.722729,21724,0.7265625
1553672365.0180635,21795,0.734375
1553672371.7391531,21821,0.75
1553672377.161443,21842,0.703125
1553672378.7920868,21848,0.7421875
1553672420.187319,22006,0.71875
1553672481.5553908,22245,0.734375
1553672484.896481,22258,0.640625
1553672493.9237702,22292,0.7421875
1553672503.7897651,22330,0.6953125
1553672510.9241812,22358,0.671875
1553672540.5353165,22472,0.6796875
1553672549.7666836,22507,0.7734375
1553672559.2865531,22544,0.671875
1553672582.420936,22635,0.703125
1553672616.308168,22765,0.6796875
1553672635.3250148,22840,0.6875
1553672658.9530916,22930,0.6953125
1553672659.9183662,22933,0.734375
1553672699.3748186,23084,0.734375
1553672713.7194238,23138,0.7265625
1553672716.2907083,23148,0.71875
1553672725.223503,23182,0.6875
1553672727.8243282,23192,0.796875
1553672734.533722,23218,0.703125
1553672746.1768188,23263,0.6875
1553672752.141775,23286,0.6796875
1553672771.581158,23361,0.71875
1553672776.515283,23380,0.6640625
1553672789.0649593,23427,0.65625
1553672818.142377,23540,0.734375
1553672830.6897948,23589,0.7265625
1553672851.8262343,23670,0.6484375
1553672854.6773264,23681,0.7734375
1553672859.638201,23701,0.734375
1553672878.480111,23774,0.7109375
1553672893.1206264,23831,0.671875
1553672920.509684,23938,0.7421875
1553672957.3014073,24079,0.6875
1553672966.8992703,24118,0.71875
1553672974.334107,24147,0.8203125
1553672996.853148,24234,0.7421875
1553673009.4228313,24282,0.6953125
1553673009.974004,24284,0.7421875
1553673019.832248,24322,0.734375
1553673025.7955568,24345,0.7109375
