Wall time,Step,Value
1553660260.686361,42,0.375
1553660261.1201537,45,0.3359375
1553660265.2229095,71,0.421875
1553660268.8682604,94,0.375
1553660280.4240165,167,0.4609375
1553660290.2617264,229,0.4453125
1553660291.032998,234,0.5546875
1553660294.3472927,255,0.4609375
1553660297.1624568,273,0.5234375
1553660302.766624,308,0.546875
1553660303.0853965,310,0.4609375
1553660304.3302147,318,0.3671875
1553660329.1011982,474,0.453125
1553660338.8030372,536,0.484375
1553660345.6336036,579,0.4921875
1553660346.720363,586,0.484375
1553660354.2431195,634,0.5703125
1553660356.3196838,647,0.5
1553660360.0947335,671,0.4375
1553660367.0137296,714,0.4765625
1553660368.2738423,722,0.5546875
1553660378.2695506,785,0.4375
1553660380.9690845,802,0.4921875
1553660381.9118218,808,0.453125
1553660386.3218882,836,0.46875
1553660407.793634,971,0.453125
1553660414.5914946,1014,0.515625
1553660422.8526685,1066,0.5625
1553660428.932559,1104,0.4453125
1553660440.9715042,1180,0.515625
1553660453.8737705,1261,0.5234375
1553660462.6426742,1316,0.4765625
1553660463.1088383,1319,0.5234375
1553660465.403731,1333,0.5
1553660466.0484443,1337,0.53125
1553660473.656027,1385,0.3828125
1553660474.758335,1392,0.40625
1553660481.896497,1436,0.53125
1553660486.6752844,1466,0.390625
1553660495.7860363,1523,0.453125
1553660500.4005346,1552,0.453125
1553660502.9122362,1568,0.4375
1553660505.4416063,1584,0.515625
1553660522.383905,1691,0.515625
1553660529.223845,1734,0.4765625
1553660529.6866946,1737,0.484375
1553660546.6878638,1844,0.484375
1553660550.1951218,1866,0.546875
1553660552.0894027,1877,0.515625
1553660558.3851867,1917,0.4375
1553660561.0667152,1934,0.4765625
1553660563.1661375,1947,0.46875
1553660577.2711942,2036,0.4453125
1553660586.7150228,2096,0.4921875
1553660601.2723968,2187,0.5390625
1553660603.1751873,2199,0.515625
1553660608.1160908,2231,0.5234375
1553660609.0815284,2237,0.515625
1553660612.9579482,2262,0.4765625
1553660620.1146374,2307,0.5
1553660633.1635044,2389,0.484375
1553660640.7017803,2436,0.5234375
1553660643.3942332,2453,0.515625
1553660643.7317545,2455,0.4921875
1553660644.5081482,2460,0.4453125
1553660648.4907506,2485,0.578125
1553660648.6482995,2486,0.4765625
1553660650.5762787,2498,0.5234375
1553660651.375358,2503,0.4375
1553660655.9747689,2532,0.46875
1553660658.3133328,2547,0.5078125
1553660659.313891,2553,0.46875
1553660680.3534608,2685,0.4296875
1553660689.0164006,2740,0.5
1553660722.647786,2967,0.453125
1553660732.5800452,3038,0.5
1553660732.9990094,3041,0.484375
1553660741.1276572,3099,0.453125
1553660749.6922698,3161,0.5078125
1553660759.2868068,3230,0.4453125
1553660761.2302268,3244,0.5
1553660761.5098343,3246,0.5234375
1553660761.6427374,3247,0.4375
1553660769.9269595,3305,0.4921875
1553660794.1141112,3480,0.515625
1553660813.3104553,3618,0.4375
1553660813.5202417,3620,0.515625
1553660820.4868152,3670,0.46875
1553660830.288822,3741,0.4375
1553660837.6560547,3793,0.5
1553660840.5802608,3814,0.4765625
1553660841.5855398,3821,0.4765625
1553660856.4528563,3928,0.46875
1553660860.3494885,3956,0.4765625
1553660864.1957383,3984,0.5
1553660871.4232473,4036,0.5546875
1553660879.9879694,4098,0.5234375
1553660893.6200724,4196,0.5078125
1553660898.09955,4227,0.46875
1553660898.7895613,4232,0.515625
1553660910.5117788,4317,0.5
1553660910.793548,4319,0.6171875
1553660922.0936527,4400,0.4609375
1553660934.8849669,4492,0.4921875
1553660937.2343464,4509,0.5390625
1553660940.133358,4530,0.4921875
1553660958.6790318,4664,0.515625
1553660959.2433236,4668,0.4609375
1553660960.339808,4676,0.546875
1553660976.1038735,4788,0.5
1553660978.042508,4802,0.5703125
1553660982.7921505,4840,0.5078125
1553660984.183603,4852,0.4453125
1553660989.0261877,4894,0.4765625
1553660997.945434,4971,0.5390625
1553661006.9568725,5050,0.53125
1553661007.1856623,5052,0.53125
1553661013.3681428,5106,0.4609375
1553661016.591328,5134,0.546875
1553661028.7703512,5239,0.4765625
1553661040.9753346,5345,0.5234375
1553661042.5950687,5359,0.5078125
1553661049.695027,5420,0.578125
1553661064.5400455,5549,0.484375
1553661079.6092668,5679,0.5
1553661084.7046306,5723,0.5546875
1553661094.5500226,5808,0.4609375
1553661096.8617074,5828,0.609375
1553661101.0284507,5864,0.5546875
1553661101.8319929,5871,0.5
1553661105.9932516,5907,0.46875
1553661108.4139018,5928,0.5546875
1553661115.4643357,5990,0.5234375
1553661117.7921703,6010,0.5234375
1553661130.6505003,6121,0.578125
1553661131.810071,6131,0.546875
1553661139.7530475,6200,0.53125
1553661141.2605915,6213,0.484375
1553661141.961317,6219,0.515625
1553661143.4610815,6232,0.453125
1553661150.013921,6289,0.5859375
1553661152.663825,6312,0.59375
1553661160.0255296,6376,0.578125
1553661176.5380514,6520,0.5234375
1553661182.9360564,6574,0.5390625
1553661186.2228868,6603,0.484375
1553661192.452838,6657,0.515625
1553661196.9949691,6696,0.5390625
1553661197.3319416,6699,0.5625
1553661198.7307904,6711,0.5078125
1553661202.3449445,6742,0.5703125
1553661215.257759,6854,0.5703125
1553661228.1588974,6966,0.53125
1553661231.147149,6992,0.5390625
1553661233.7103312,7014,0.4921875
1553661244.4204504,7106,0.59375
1553661245.3339956,7114,0.5625
1553661250.0660534,7155,0.5859375
1553661260.6204216,7247,0.5625
1553661268.0263066,7311,0.515625
1553661273.4802885,7359,0.5234375
1553661276.1338372,7382,0.4921875
1553661278.3405418,7401,0.59375
1553661283.9813015,7450,0.5390625
1553661285.1220424,7460,0.5078125
1553661285.4746234,7463,0.515625
1553661287.199284,7478,0.546875
1553661291.19275,7511,0.5625
1553661311.457587,7687,0.5859375
1553661312.1563954,7693,0.46875
1553661319.8883193,7760,0.515625
1553661323.1363137,7788,0.5078125
1553661324.234096,7798,0.5625
1553661328.2890837,7833,0.53125
1553661346.6638503,7991,0.484375
1553661350.7198331,8026,0.59375
1553661355.3550203,8066,0.5625
1553661368.4798973,8180,0.5625
1553661373.241843,8221,0.59375
1553661386.1901093,8334,0.546875
1553661389.5573223,8363,0.5625
1553661390.1389382,8368,0.578125
1553661391.1725407,8377,0.53125
1553661401.6782055,8467,0.5546875
1553661402.0231113,8470,0.5546875
1553661405.268617,8498,0.59375
1553661406.417692,8508,0.6171875
1553661413.0485387,8566,0.6015625
1553661417.0214045,8601,0.5625
1553661420.9453979,8635,0.5625
1553661427.8787842,8695,0.5234375
1553661442.0450032,8819,0.53125
1553661448.8468409,8878,0.546875
1553661452.0442665,8904,0.59375
1553661452.389977,8907,0.515625
1553661454.7501225,8928,0.59375
1553661455.5536304,8935,0.578125
1553661462.218552,8993,0.5703125
1553661462.9191172,8999,0.5078125
1553661469.3547194,9055,0.6015625
1553661492.906131,9260,0.5234375
1553661499.393736,9316,0.6328125
1553661503.0982282,9348,0.609375
1553661513.2231696,9435,0.5
1553661517.0270014,9468,0.59375
1553661526.1647284,9547,0.5859375
1553661526.9630997,9554,0.59375
1553661528.4655876,9567,0.5625
1553661535.4860024,9627,0.5625
1553661538.877745,9657,0.53125
1553661541.5398169,9680,0.6015625
1553661543.6058137,9698,0.609375
1553661560.5870924,9843,0.5390625
1553661567.8915625,9907,0.5703125
1553661585.3282688,10058,0.6484375
1553661588.326225,10084,0.6328125
1553661610.4121,10276,0.5703125
1553661611.2237136,10283,0.640625
1553661624.3158674,10396,0.625
1553661624.6599283,10399,0.65625
1553661627.085296,10420,0.546875
1553661633.8741825,10479,0.625
1553661635.0306504,10489,0.5859375
1553661638.8457975,10522,0.6015625
1553661648.6458554,10607,0.546875
1553661652.1833217,10638,0.5859375
1553661654.0186427,10654,0.46875
1553661655.9737546,10671,0.5078125
1553661660.601308,10711,0.609375
1553661665.9175777,10757,0.546875
1553661666.0324469,10758,0.5390625
1553661668.7737784,10780,0.640625
1553661672.7064931,10815,0.6171875
1553661675.7458956,10841,0.5703125
1553661676.7924838,10850,0.640625
1553661682.7886746,10902,0.59375
1553661683.1514611,10905,0.6796875
1553661687.085165,10939,0.5546875
1553661687.542447,10943,0.5546875
1553661690.2044864,10966,0.5390625
1553661690.8906426,10972,0.6328125
1553661691.1199305,10974,0.6640625
1553661696.3801544,11020,0.6015625
1553661705.770776,11102,0.59375
1553661707.9625785,11121,0.5234375
1553661708.9943094,11130,0.6640625
1553661716.8647122,11198,0.6171875
1553661717.0895555,11200,0.5390625
1553661724.1134923,11260,0.640625
1553661742.4717999,11419,0.59375
1553661748.6006463,11472,0.578125
1553661750.8949096,11492,0.59375
1553661754.3841665,11523,0.578125
1553661755.4211638,11532,0.625
1553661757.3855457,11549,0.5625
1553661759.368159,11566,0.5703125
1553661768.7493386,11648,0.6484375
1553661771.435801,11671,0.59375
1553661773.0346987,11685,0.5859375
1553661781.6049633,11759,0.6171875
1553661794.7235103,11873,0.5625
1553661805.726345,11969,0.6328125
1553661806.3049161,11974,0.609375
1553661810.4455616,12010,0.609375
1553661814.0321558,12041,0.59375
1553661825.215844,12138,0.609375
1553661828.20821,12164,0.46875
1553661828.8387277,12168,0.6640625
1553661830.6842394,12184,0.5703125
1553661835.4660594,12226,0.625
1553661842.84704,12290,0.6328125
1553661843.1951904,12293,0.6015625
1553661845.0613823,12309,0.609375
1553661856.2057433,12405,0.578125
1553661862.2457333,12458,0.6328125
1553661873.1592748,12553,0.6640625
1553661886.9007423,12671,0.6328125
1553661890.1231995,12699,0.640625
1553661902.346231,12805,0.5625
1553661910.697392,12877,0.5546875
1553661917.739914,12939,0.6171875
1553661926.7448006,13017,0.609375
1553661928.705319,13034,0.6328125
1553661931.8414564,13061,0.6328125
1553661934.2764084,13082,0.609375
1553661935.658289,13094,0.6328125
1553661937.5709727,13109,0.5625
1553661938.0332706,13113,0.6171875
1553661939.8928914,13130,0.7109375
1553661944.0058115,13166,0.6640625
1553661948.6211052,13206,0.6328125
1553661952.4371915,13239,0.609375
1553661965.192138,13349,0.5703125
1553661971.2148995,13402,0.5859375
1553661971.676927,13406,0.5859375
1553661973.9872167,13426,0.5546875
1553661983.0098457,13504,0.6015625
1553661987.8242283,13546,0.59375
1553661993.798523,13597,0.6484375
1553661996.4327295,13620,0.6171875
1553662003.2709887,13679,0.5625
1553662003.613998,13682,0.609375
1553662014.4969385,13776,0.6171875
1553662018.4051645,13810,0.5625
1553662022.3402507,13845,0.7109375
1553662026.820235,13884,0.625
1553662037.4441364,13976,0.6171875
1553662039.94869,13998,0.6640625
1553662049.4924178,14080,0.59375
1553662065.731332,14221,0.625
1553662073.3112102,14287,0.65625
1553662074.117204,14294,0.625
1553662075.1591516,14303,0.609375
1553662077.129175,14320,0.6015625
1553662078.510601,14332,0.6015625
1553662079.203253,14338,0.5390625
1553662086.0334823,14397,0.609375
1553662091.7835207,14447,0.59375
1553662097.1811986,14494,0.625
1553662101.409565,14530,0.6484375
1553662104.5200117,14557,0.578125
1553662113.180174,14632,0.546875
1553662113.8696063,14638,0.6171875
1553662117.3508692,14668,0.6484375
1553662118.391726,14677,0.5234375
1553662119.5451884,14687,0.5859375
1553662130.0694082,14779,0.59375
1553662130.1828837,14780,0.578125
1553662131.1007009,14788,0.6015625
1553662131.5706294,14792,0.609375
1553662133.5234826,14809,0.515625
1553662140.9025056,14873,0.6875
1553662143.1072242,14892,0.5625
1553662158.786045,15027,0.6875
1553662166.0470376,15090,0.6171875
1553662171.3413782,15136,0.625
1553662176.3910475,15180,0.609375
1553662186.1557813,15266,0.6015625
1553662192.850114,15324,0.59375
1553662195.5228076,15347,0.5703125
1553662210.1659164,15473,0.6171875
1553662210.3945234,15475,0.625
1553662214.084534,15507,0.65625
1553662217.6554258,15538,0.703125
1553662224.4373481,15597,0.625
1553662240.8393528,15740,0.6640625
1553662243.6547346,15764,0.6640625
1553662244.698914,15773,0.65625
1553662250.6303468,15825,0.671875
1553662250.9727592,15828,0.625
1553662268.4917834,15979,0.6796875
1553662270.1158876,15993,0.6640625
1553662281.8829968,16095,0.6328125
1553662284.305524,16116,0.765625
1553662299.5190845,16249,0.6484375
1553662307.8278408,16321,0.6484375
1553662310.3796842,16343,0.6640625
1553662312.372834,16360,0.671875
1553662317.8224442,16406,0.6875
1553662321.733979,16440,0.6484375
1553662329.2229278,16505,0.625
1553662338.4430072,16585,0.625
1553662339.0169365,16590,0.703125
1553662347.159962,16661,0.6875
1553662351.3162096,16697,0.6328125
1553662364.1272373,16808,0.7265625
1553662364.2463825,16809,0.625
1553662368.1638308,16843,0.65625
1553662369.9465818,16857,0.6953125
1553662374.704656,16899,0.7109375
1553662393.9393418,17066,0.703125
1553662397.419955,17097,0.6484375
1553662401.3675394,17131,0.71875
1553662409.5885563,17202,0.703125
1553662413.8760798,17239,0.65625
1553662417.6855159,17272,0.6796875
1553662419.750938,17290,0.71875
1553662419.9782138,17292,0.703125
1553662422.9200115,17316,0.75
1553662423.0299263,17317,0.703125
1553662423.3745093,17320,0.6953125
1553662425.4584694,17339,0.703125
1553662429.4859564,17374,0.7734375
1553662433.070711,17405,0.65625
1553662437.5816977,17444,0.6484375
1553662438.7355936,17454,0.6875
1553662449.009341,17543,0.6796875
1553662450.592489,17557,0.765625
1553662453.922559,17586,0.65625
1553662454.857026,17594,0.6015625
1553662458.18695,17623,0.6640625
1553662469.7218122,17722,0.6328125
1553662497.4167352,17953,0.7109375
1553662500.7072964,17981,0.7109375
1553662501.7308545,17990,0.6875
1553662505.0860336,18018,0.71875
1553662509.1904783,18053,0.6171875
1553662510.6787999,18065,0.7109375
1553662518.1369655,18129,0.6953125
1553662533.9225085,18264,0.71875
1553662540.377104,18318,0.703125
1553662555.9458492,18451,0.6875
1553662556.0615418,18452,0.7265625
1553662572.9003093,18592,0.703125
1553662586.8176718,18713,0.6796875
1553662587.7415798,18720,0.640625
1553662602.4669256,18845,0.75
1553662615.5248659,18958,0.75
1553662617.7702935,18977,0.671875
1553662620.97452,19005,0.65625
1553662623.554601,19027,0.75
1553662626.0484247,19048,0.6953125
1553662634.0551646,19116,0.625
1553662640.0063975,19169,0.65625
1553662646.9383245,19227,0.7421875
1553662652.2581196,19271,0.6484375
1553662655.649981,19300,0.6484375
1553662677.012341,19485,0.734375
1553662679.1022666,19503,0.640625
1553662681.7101579,19525,0.703125
1553662682.4246566,19531,0.6796875
1553662688.051544,19579,0.6953125
1553662695.1601198,19640,0.6796875
1553662696.8159835,19654,0.6875
1553662698.2734177,19665,0.7578125
1553662704.8921273,19720,0.703125
1553662706.1516058,19731,0.6953125
1553662706.801285,19737,0.7109375
1553662713.6796453,19796,0.7421875
1553662716.8382783,19823,0.703125
1553662719.5494955,19846,0.6484375
1553662727.9086115,19916,0.671875
1553662730.5097823,19938,0.7421875
1553662734.4868205,19971,0.71875
1553662736.4430118,19988,0.640625
1553662737.241103,19995,0.6875
1553662741.8004575,20035,0.8046875
1553662743.75453,20053,0.6796875
1553662744.421466,20059,0.796875
1553662744.7508063,20062,0.71875
1553662753.5131748,20138,0.59375
1553662753.621654,20139,0.6796875
1553662759.0106518,20186,0.609375
1553662762.6852734,20217,0.7578125
1553662765.7525954,20244,0.71875
1553662766.0778904,20247,0.6796875
1553662766.6155515,20252,0.7890625
1553662774.9170487,20323,0.6015625
1553662776.1615162,20334,0.6875
1553662781.986057,20383,0.6328125
1553662788.7516532,20440,0.6953125
1553662794.0582368,20485,0.6796875
1553662798.8676498,20526,0.7265625
1553662800.3678977,20539,0.703125
1553662800.4809017,20540,0.65625
1553662802.9902165,20562,0.7421875
1553662804.8781896,20578,0.6328125
1553662817.7906792,20689,0.734375
1553662820.2095292,20710,0.7109375
1553662828.045895,20779,0.625
1553662828.386011,20782,0.6796875
1553662828.5098758,20783,0.7109375
1553662834.268532,20831,0.71875
1553662837.065751,20855,0.65625
1553662852.2171135,20987,0.75
1553662861.6019177,21067,0.6796875
1553662863.0910304,21080,0.734375
1553662870.7607768,21144,0.7890625
1553662878.3427167,21209,0.75
1553662880.9277303,21232,0.6875
1553662890.6897662,21316,0.7265625
1553662891.0188498,21319,0.6875
1553662891.6300159,21324,0.671875
1553662899.186931,21391,0.6875
1553662901.1182494,21409,0.71875
