Wall time,Step,Value
1553655403.6629462,42,0.2890625
1553655403.8334317,45,0.453125
1553655405.145209,71,0.3984375
1553655406.2846506,94,0.390625
1553655409.7815373,158,0.5078125
1553655410.3076193,167,0.5234375
1553655413.9004824,229,0.5859375
1553655414.1856542,234,0.5703125
1553655415.4079869,255,0.546875
1553655416.5624616,273,0.484375
1553655419.2434149,308,0.5078125
1553655419.4080524,310,0.484375
1553655420.0047321,318,0.46875
1553655427.438515,421,0.5
1553655430.3323774,460,0.5234375
1553655431.6032019,474,0.46875
1553655436.0240433,536,0.5625
1553655439.1867912,579,0.6875
1553655439.722359,586,0.484375
1553655443.0815997,634,0.421875
1553655444.012248,647,0.5859375
1553655445.957884,671,0.4609375
1553655449.6823127,714,0.5234375
1553655450.4221556,722,0.546875
1553655454.5256617,771,0.4921875
1553655455.644809,785,0.5390625
1553655457.11042,802,0.5234375
1553655457.6585371,808,0.5
1553655460.0305877,836,0.5078125
1553655471.5145097,971,0.609375
1553655475.7371042,1014,0.4921875
1553655481.1479938,1066,0.546875
1553655485.0580683,1104,0.5546875
1553655492.694719,1180,0.578125
1553655500.9265265,1261,0.5625
1553655506.5769453,1316,0.578125
1553655506.8988562,1319,0.4375
1553655508.2479038,1333,0.609375
1553655508.663135,1337,0.546875
1553655513.38363,1385,0.53125
1553655514.0387552,1392,0.5546875
1553655518.4963355,1436,0.546875
1553655521.4857514,1466,0.5625
1553655527.0842252,1523,0.515625
1553655530.1180859,1552,0.6484375
1553655531.8365898,1568,0.515625
1553655533.493294,1584,0.5625
1553655539.1592162,1640,0.5859375
1553655544.2798955,1691,0.5390625
1553655545.985913,1709,0.546875
1553655546.7939394,1718,0.53125
1553655548.3817644,1734,0.453125
1553655548.7307634,1737,0.59375
1553655553.156634,1781,0.484375
1553655559.831767,1844,0.5078125
1553655562.0508747,1866,0.5234375
1553655562.327526,1869,0.5234375
1553655563.2848275,1877,0.5390625
1553655567.2626486,1917,0.53125
1553655568.913367,1934,0.59375
1553655570.0787325,1947,0.515625
1553655579.3216286,2036,0.6640625
1553655585.5151534,2096,0.53125
1553655594.6368,2187,0.5
1553655595.8787494,2199,0.5390625
1553655599.0912683,2231,0.4921875
1553655599.673137,2237,0.4609375
1553655601.696431,2257,0.5234375
1553655602.1795568,2262,0.546875
1553655606.7259617,2307,0.5390625
1553655607.937647,2319,0.625
1553655615.4141245,2389,0.5546875
1553655620.3954499,2436,0.546875
1553655622.0358336,2453,0.53125
1553655622.2647061,2455,0.5546875
1553655622.7826931,2460,0.5390625
1553655625.317004,2485,0.515625
