Wall time,Step,Value
1553684980.7127616,42,0.4140625
1553684981.345558,45,0.3984375
1553684987.047691,71,0.328125
1553684992.095103,94,0.40625
1553685008.6378715,167,0.4921875
1553685022.3595288,229,0.4765625
1553685023.4649436,234,0.4296875
1553685028.0963697,255,0.4453125
1553685032.123778,273,0.421875
1553685039.7336318,308,0.46875
1553685040.169329,310,0.4296875
1553685042.0093706,318,0.5078125
1553685076.6522992,474,0.4921875
1553685090.4250207,536,0.375
1553685100.0916195,579,0.5078125
1553685101.613111,586,0.4765625
1553685112.0559764,634,0.3984375
1553685114.9757745,647,0.4375
1553685120.504845,671,0.453125
1553685130.017636,714,0.4375
1553685131.772804,722,0.484375
1553685145.63186,785,0.3984375
1553685149.5606425,802,0.4453125
1553685150.8703792,808,0.4609375
1553685157.3650815,836,0.484375
1553685187.5845008,971,0.4375
1553685197.0809903,1014,0.484375
1553685208.5234873,1066,0.4609375
1553685216.8684955,1104,0.453125
1553685233.815239,1180,0.4765625
1553685251.890242,1261,0.4140625
1553685264.0976112,1316,0.46875
1553685264.7760327,1319,0.4765625
1553685267.868352,1333,0.4453125
1553685268.7367632,1337,0.4765625
1553685279.313248,1385,0.484375
1553685280.881714,1392,0.4453125
1553685291.0029817,1436,0.4296875
1553685297.7966957,1466,0.4765625
1553685310.480492,1523,0.40625
1553685316.9504318,1552,0.40625
1553685320.5371506,1568,0.375
1553685324.1315525,1584,0.40625
1553685348.0251634,1691,0.5078125
1553685357.4683065,1734,0.390625
1553685358.1318874,1737,0.453125
1553685381.7736173,1844,0.4609375
1553685386.6574867,1866,0.484375
1553685389.2941778,1877,0.3671875
1553685398.437578,1917,0.453125
1553685402.1872563,1934,0.4140625
1553685405.1534858,1947,0.484375
1553685425.1928897,2036,0.453125
1553685438.4151342,2096,0.453125
1553685458.9300601,2187,0.46875
1553685461.5244255,2199,0.4765625
1553685468.474968,2231,0.4296875
1553685469.8362017,2237,0.453125
1553685475.4212906,2262,0.4375
1553685485.388818,2307,0.4765625
1553685503.673922,2389,0.4609375
1553685514.142745,2436,0.421875
1553685517.8434143,2453,0.4140625
1553685518.270363,2455,0.3828125
1553685519.3486102,2460,0.4921875
1553685525.0030417,2485,0.4140625
1553685525.2409198,2486,0.3671875
1553685527.8727186,2498,0.4296875
1553685528.9717405,2503,0.421875
1553685535.3411674,2532,0.375
1553685538.7202883,2547,0.4453125
1553685540.0208085,2553,0.421875
1553685569.0170822,2685,0.453125
1553685581.5407805,2740,0.5
1553685632.0729148,2967,0.40625
1553685648.2536056,3038,0.4375
1553685648.9219759,3041,0.5
1553685661.9755878,3099,0.375
1553685675.584301,3161,0.4453125
1553685691.1755517,3230,0.421875
1553685694.3074937,3244,0.4375
1553685694.764979,3246,0.421875
1553685695.0038712,3247,0.546875
1553685708.0482607,3305,0.4765625
1553685746.966252,3480,0.453125
1553685777.6803067,3618,0.4765625
