Wall time,Step,Value
1553656008.2517493,42,0.3515625
1553656008.635347,45,0.3359375
1553656012.1428487,71,0.375
1553656015.316249,94,0.5
1553656025.338372,167,0.4609375
1553656033.9301386,229,0.5
1553656034.6095624,234,0.5234375
1553656037.4801695,255,0.4375
1553656039.9741492,273,0.4375
1553656044.7804766,308,0.640625
1553656045.048175,310,0.53125
1553656046.1430914,318,0.53125
1553656067.734963,474,0.4921875
1553656076.2162952,536,0.53125
1553656082.1751451,579,0.5
1553656083.1357076,586,0.5234375
1553656089.7439082,634,0.5078125
1553656091.5154934,647,0.4921875
1553656094.7870207,671,0.5625
1553656100.7305017,714,0.5859375
1553656101.8586462,722,0.53125
1553656110.4327874,785,0.4453125
1553656112.7512748,802,0.53125
1553656113.5754158,808,0.4609375
1553656117.4074473,836,0.5625
1553656135.9614398,971,0.5859375
1553656141.8525035,1014,0.4921875
1553656149.0249846,1066,0.5625
1553656154.2354636,1104,0.5234375
1553656164.7155445,1180,0.5546875
1553656175.7297091,1261,0.4921875
1553656183.2098207,1316,0.5234375
1553656183.6159108,1319,0.515625
1553656185.5111241,1333,0.6484375
1553656186.0535858,1337,0.5078125
1553656192.6511474,1385,0.5546875
1553656193.589224,1392,0.53125
1553656199.7177565,1436,0.4921875
1553656203.864921,1466,0.4765625
1553656211.6837194,1523,0.5546875
1553656215.6615384,1552,0.6015625
1553656217.8344915,1568,0.5546875
1553656219.9916306,1584,0.5546875
1553656234.6355133,1691,0.6015625
1553656240.5014803,1734,0.421875
1553656240.9115806,1737,0.515625
1553656255.6168427,1844,0.453125
1553656258.6630523,1866,0.609375
1553656260.3857167,1877,0.5625
1553656265.8865654,1917,0.671875
1553656268.2368438,1934,0.546875
1553656270.0168843,1947,0.5703125
1553656282.191503,2036,0.5859375
1553656290.3560233,2096,0.5078125
1553656302.8641741,2187,0.5546875
1553656304.529126,2199,0.4609375
1553656308.9528098,2231,0.59375
1553656309.7741313,2237,0.421875
1553656313.219157,2262,0.578125
1553656319.4161255,2307,0.5390625
1553656330.7513883,2389,0.5703125
1553656337.1645112,2436,0.484375
1553656339.4698071,2453,0.5234375
1553656339.7392368,2455,0.609375
1553656340.437949,2460,0.5546875
1553656343.8713207,2485,0.546875
1553656344.0110745,2486,0.5703125
1553656345.6318934,2498,0.5390625
1553656346.3346546,2503,0.5703125
1553656350.3525393,2532,0.515625
1553656352.36308,2547,0.5234375
1553656353.2115054,2553,0.46875
1553656371.3114526,2685,0.5390625
1553656378.8734617,2740,0.515625
1553656410.2541614,2967,0.5625
1553656419.901449,3038,0.5078125
1553656420.3107064,3041,0.5390625
1553656428.2898083,3099,0.609375
1553656436.8129401,3161,0.4609375
1553656446.2823315,3230,0.53125
1553656448.2143369,3244,0.6015625
1553656448.4880207,3246,0.53125
1553656448.6319754,3247,0.609375
1553656456.734237,3305,0.5078125
1553656480.7375603,3480,0.4921875
1553656499.7963116,3618,0.5703125
1553656500.0752265,3620,0.59375
1553656506.9495983,3670,0.5859375
