Wall time,Step,Value
1553666951.3182101,42,0.34375
1553666951.95604,45,0.3125
1553666957.4453888,71,0.3046875
1553666962.4749596,94,0.3671875
1553666978.2790022,167,0.3515625
1553666991.5064256,229,0.3671875
1553666992.525244,234,0.375
1553666997.1284726,255,0.359375
1553667001.0687606,273,0.328125
1553667008.4215279,308,0.34375
1553667008.8576665,310,0.296875
1553667010.5593154,318,0.34375
1553667044.4290664,474,0.3671875
1553667057.5758028,536,0.34375
1553667066.7312324,579,0.390625
1553667068.220493,586,0.3359375
1553667078.4432392,634,0.328125
1553667081.277291,647,0.3125
1553667086.2563348,671,0.40625
1553667095.4505098,714,0.359375
1553667097.1649911,722,0.296875
1553667110.4730783,785,0.2578125
1553667114.0662441,802,0.2890625
1553667115.3342366,808,0.265625
1553667121.282372,836,0.328125
1553667150.0168414,971,0.390625
1553667159.277283,1014,0.296875
1553667170.298462,1066,0.375
1553667178.3094215,1104,0.3984375
1553667194.5365274,1180,0.3046875
1553667211.7222836,1261,0.3515625
1553667223.4727852,1316,0.359375
1553667224.1152277,1319,0.3125
1553667227.0890973,1333,0.34375
1553667227.9432344,1337,0.3359375
1553667238.0803883,1385,0.3359375
1553667239.565291,1392,0.2578125
1553667249.1378565,1436,0.359375
1553667255.5021691,1466,0.359375
1553667267.6821706,1523,0.328125
1553667273.6618147,1552,0.328125
1553667277.0279057,1568,0.3046875
1553667280.4481597,1584,0.3671875
1553667303.305143,1691,0.328125
1553667312.5302293,1734,0.34375
1553667313.172655,1737,0.453125
1553667335.8504567,1844,0.3984375
1553667340.5237167,1866,0.390625
1553667343.0381272,1877,0.34375
1553667351.466078,1917,0.375
1553667355.0647278,1934,0.3515625
1553667357.8468204,1947,0.359375
1553667376.610831,2036,0.421875
1553667389.3547146,2096,0.4296875
1553667408.6813846,2187,0.3125
1553667411.2173853,2199,0.3359375
1553667418.0120773,2231,0.359375
1553667419.2777822,2237,0.375
1553667424.4987984,2262,0.375
1553667433.9800432,2307,0.34375
1553667451.6768875,2389,0.3515625
1553667461.5922892,2436,0.4375
1553667465.1875744,2453,0.3828125
1553667465.619064,2455,0.3203125
1553667466.6992164,2460,0.421875
1553667471.9911325,2485,0.3125
1553667472.1924887,2486,0.3359375
1553667474.6482222,2498,0.3046875
1553667475.6837823,2503,0.359375
1553667481.9534552,2532,0.359375
1553667485.1279607,2547,0.34375
1553667486.3703449,2553,0.296875
1553667514.4848502,2685,0.3359375
1553667526.0550363,2740,0.3359375
1553667574.50304,2967,0.4609375
1553667589.6233325,3038,0.3203125
1553667590.2587569,3041,0.3828125
1553667602.5698147,3099,0.4296875
1553667615.6585937,3161,0.390625
1553667630.4189098,3230,0.3671875
1553667633.4087753,3244,0.390625
1553667633.8358676,3246,0.453125
1553667634.046804,3247,0.34375
1553667646.635911,3305,0.4140625
1553667683.7140343,3480,0.453125
1553667712.9718616,3618,0.40625
