Wall time,Step,Value
1553666913.8782425,42,0.4609375
1553666920.7298884,94,0.4453125
1553666930.3688948,167,0.453125
1553666938.75488,229,0.4921875
1553666939.4548085,234,0.4453125
1553666943.1813207,255,0.46875
1553666946.8593452,273,0.515625
1553666953.8931074,308,0.484375
1553666954.2908726,310,0.484375
1553666955.917192,318,0.453125
1553666988.2198207,474,0.5
1553667000.8029816,536,0.4921875
1553667009.4613218,579,0.5078125
1553667010.857289,586,0.5546875
1553667020.6376896,634,0.4453125
1553667023.3398376,647,0.453125
1553667037.0236924,714,0.453125
1553667038.6733797,722,0.359375
1553667054.7899883,802,0.4296875
1553667056.061666,808,0.4765625
1553667061.728281,836,0.5078125
1553667097.9997876,1014,0.4921875
1553667108.5351691,1066,0.4921875
1553667116.2291765,1104,0.5390625
1553667131.6428697,1180,0.4453125
1553667147.831562,1261,0.53125
1553667159.071723,1316,0.4375
1553667159.6818867,1319,0.5234375
1553667162.528632,1333,0.5
1553667163.334402,1337,0.5078125
1553667173.1001647,1385,0.5234375
1553667174.5029285,1392,0.546875
1553667183.540174,1436,0.5390625
1553667206.8903985,1552,0.546875
1553667213.3838453,1584,0.59375
1553667235.0489016,1691,0.46875
1553667243.7257223,1734,0.46875
1553667244.3322968,1737,0.484375
1553667266.0065732,1844,0.46875
1553667272.7862523,1877,0.5234375
1553667280.769162,1917,0.515625
1553667286.9613526,1947,0.515625
1553667304.9606605,2036,0.4296875
1553667317.0846465,2096,0.46875
1553667337.9527786,2199,0.4453125
1553667350.5433574,2262,0.40625
1553667359.706251,2307,0.5234375
1553667376.4249482,2389,0.4609375
1553667385.9515052,2436,0.4921875
1553667389.417671,2453,0.4765625
1553667389.8202615,2455,0.4765625
1553667395.921268,2485,0.59375
1553667396.1234899,2486,0.46875
1553667398.5591152,2498,0.5625
1553667399.584288,2503,0.5
1553667405.4564836,2532,0.546875
1553667436.3405821,2685,0.5
1553667447.222484,2740,0.484375
1553667493.3957343,2967,0.4140625
1553667507.8291595,3038,0.4765625
1553667532.5768163,3161,0.5546875
1553667546.4390929,3230,0.4765625
1553667549.7189362,3246,0.453125
1553667549.9278865,3247,0.5859375
1553667561.8641412,3305,0.453125
1553667597.292744,3480,0.4375
1553667625.0746143,3618,0.4609375
1553667625.4830117,3620,0.4453125
1553667635.5827699,3670,0.5390625
1553667649.8285508,3741,0.4765625
